business_name,business_address,city,state,zip_code,business_contact,email,website,approval_date,objectid
"Fluidics, Inc.",10981 Decatur Road SUITE 1,PHILADELPHIA,PA,19154,Michael J Iacobucci,finance@fluidics.com,,2025-07-31 04:00:00+00,143
FOOD SHELTER INC.,2415 SOUTH STREET ,PHILADELPHIA,PA,19146,LORRAINE GIMBLETT,LORRAINE@FOOD-SHELTER.COM,,2025-03-11 04:00:00+00,144
"FORTRESS PROTECTION, LLC",1905 South 13th St ,Phildelphia,PA,19148,Ted Campbell,ted@fortressprotection.com,,2025-08-06 04:00:00+00,145
FOUNTAIN OF KNOWLEDGE LLC,4012 WELLS STREET ,PHILADELPHIA,PA,19135,STACIE THOMPSON,MSSTACI@FOUNTAINOFKNOWLEDGE.ORG,,2025-07-22 04:00:00+00,146
"Four Seasons Total Landscaping, Inc.",7339 State Road ,Philadelphia,PA,19136,Marie Siravo,accounting@fstl1992.com,,2025-07-31 04:00:00+00,147
"Fox Chase Electrical, Inc.",7925 BURHOLME AVENUE ,PHILADELPHIA,PA,19111,CAROL WALSH,FOXLCWALSH@AOL.COM,,2025-07-31 04:00:00+00,148
"Frankford Machinery, Inc.",4500 TORRESDALE AVENUE ,PHILADELPHIA,PA,19124,NICK KASHKASHIAN,NICK@FRANKFORDONLINE.COM,,2025-07-31 04:00:00+00,149
FREDDIES AUTO PARTS INC,6330 W Passyunk Ave ,Philadelphia,Pa,19153,Freddie Baker,fapsalvagecars@gmail.com,,2025-07-31 04:00:00+00,150
FULL BEING SERVICES,"7439 FRANKFORD AVE, LOWER LEVEL #2 ",PHILADELPHIA,PA,19136,CHRISTOPHER BROWN,SUPPORT@FULLBEINGSERVICES.COM,,2026-01-15 05:00:00+00,151
"FUTURENET, INC.",4548 Market St Suite M-18,Philadelphia,PA,19139,Noel Lowe,fni@fnetinc.com,,2025-08-22 04:00:00+00,152
"GDLOFT, LLC",1400 N AMERICAN STREET TE 402,PHILADELPHIA,PA,19122,KEVIN KERNAN,KEVIN@GDLOFT.COM,,2025-09-04 04:00:00+00,153
GENERAL ASPHALT PAVING CO. OF PHILADELPHIA,9301 KREWSTOWN ROAD ,PHILADELPHIA,PA,19115,AUSTIN MEEHAN III,JMS@VOICENET.COM,,2025-07-31 04:00:00+00,154
GERMAN AMERICAN MARKETING INC,611 SPRING GARDEN ST ,PHILADELPHIA,PA,19123,THOMAS BAUER,INFO@PHILACHRISTMAS.COM,,2025-08-28 04:00:00+00,155
"GIRL CONCRETE,INC.",2001 MARKET STREET STE. 2005,PHILADELPHIA,PA,19103,LYNETTE SUTTON,INFO@GIRLCONCRETE.COM,,2025-07-31 04:00:00+00,156
GLOBAL SYNERGIES LLC,1410 N 16TH ST ,PHILADELPHIA,PA,19121,CAROL ZACHARY SMITH,CAROLSMITH@4GLOBALSYNERGIES.COM,,2025-08-20 04:00:00+00,157
GLOBAL TRANSPORT SOLUTIONS LLC,7391 RUGBY ST ,PHILADELPHIA,PA,19138,TIA S. MCNEIL,GLOBALTRANSPORTSOLUTIONS215@GMAIL.COM,,2025-08-22 04:00:00+00,158
GOMES EXPRESS INC.,2900 ORTHODOX STREET ,PHILADELPHIA,PA,19137,VEENA GOMES,VGOMES@GOMESEXPRESS.COM,,2025-12-10 05:00:00+00,159
GORDOS AND SONS TOWING SERVICES LLC,4211 BENNER ST ,PHILADELPHIA,PA,19135,LUIS TUBEN-CORTES,TUBENS68@GMAIL.COM,,2025-07-22 04:00:00+00,160
GRACIE PAINTING LLC,2783 Roberts Ave ,Philadelphia,PA,19129,Maude Wright,JVGPaintng@aol.com,,2025-08-22 04:00:00+00,161
Green Building United,1601 Market Street Suite 2270,PHILADELPHIA,PA,19103,Emily Pugliese,info@greenbuildingunited.org,,2025-08-22 04:00:00+00,162
GREEN ESTATES LAWN SPRINKLERS INC,7331 RISING SUN AVENUE ,PHILADELPHIA,PA,19111,JOSEPH TOBIN,j.stemple@gelsnow.com,,2025-07-22 04:00:00+00,163
"Greenup Construction & Maintenance, Inc.",530 WALNUT STREET SUITE 998,PHILADELPHIA,PA,19106,Deanna Schmidt,dschmidt@akrf.com,,2025-07-31 04:00:00+00,164
"Grist, LLC",50 E SEDGWICK ST ,PHILADELPHIA,PA,19119,THOMAS HALLIWELL,TJH@GRISTDESIGN.COM,,2025-08-22 04:00:00+00,165
"Ground Reconsidered, Inc.",915 Spring Garden St Suite 403,Philadelphia,Pa,19123,Karen Skaffe,skaffe@groundreconsidered.com,,2024-05-09 04:00:00+00,166
"Haines & Kibblehouse, Inc.",4747 SOUTH BROAD STREET ,PHILADELPHIA,PA,19112,JOHN MAST,JMAST@HKGROUP.COM,WWW.HKGROUP.COM,2025-08-19 04:00:00+00,167
HAIR DU JOUR SALON,1989 N 63RD STREET ,PHILADELPHIA,PA,19151,ANTOINETTE MORRIS,HAIRSTYLIST215@YAHOO.COM,,2026-03-10 04:00:00+00,168
HALO STAFFING AGENCY DBA HALO HOME CARE,6401 AKRON STREET ,PHILADELPHIA,PA,19149,CARMEN FERNANDEZ,CFERNANDEZ@HALOSTAFFING.ORG,,2026-01-15 05:00:00+00,169
HARMAN DEUTSCH CORP DBA HARMAN DEUTSCH OHLER ARCHITECTURE,1225 N 7TH STREET ,PHILADELPHIA,PA,19122,KIMBERLY WITTENBERG,KIM@HDOARCH.COM,,2026-01-15 05:00:00+00,170
"HARPHERS, INC","3900 CITY AVE, APT A820 ",PHILADELPHIA,PA,19147,FAREEDA HARPER,INFO@POTTYMOUTHGRANNYPORTABLES.COM,,2025-12-10 05:00:00+00,171
HELM CREATIVE STUDIO,632 N 2ND STREET PMB 918,PHILADELPHIA,PA,19123,ASHLEE HOLLIS,HELLO@HELMCREATIVESTUDIO.COM,,2025-08-12 04:00:00+00,172
"Herman Goldner Co., Inc.",7777 BREWSTER AVENUE ,PHILADELPHIA,PA,19153,MELODY CARR,MCARR@GOLDNER.COM,WWW.GOLDNER.COM,2025-07-31 04:00:00+00,173
HINGE COLLECTIVE,4523 LOCUST ST ,PHILADELPHIA,PA,19139,ALEXA BOSSE,ALEXA@HINGE-COLLECTIVE.COM,,2025-08-06 04:00:00+00,174
HITOUCH ENTERPRISES,"30 S 15TH STREET, 15TH FLOOR ",PHILADELPHIA,PA,19102,FELICIA WILLIAMS,FELICIAWILLIAMS@HITOUCHINC.COM,,2026-01-15 05:00:00+00,175
HNTB Corporation,1600 Market Street Suite 3600,Philadelphia,PA,19103,"Michele Legg - AVP, Director of Corporate Tax",hntbtax@hntb.com,,2025-12-10 05:00:00+00,176
HUMAN RESOURCES MANAGERS ON THE MOVE LLC ( HR MOM LLC),6375 W. COLUMBIA AVE ,PHILADELPHIA,PA,19151,CORINNE GREEN,CORINNE@HRMOMLLC.COM,,2025-09-04 04:00:00+00,177
HURLEY FRANKS & ASSOCIATES,1500 WALNUT STREET SUITE 800,PHILADELPHIA,PA,19102,PHILIP FRANKS,PEFRANKS@HFADESIGN.COM,,2025-07-31 04:00:00+00,178
HYDE ELECTRIC CORP,3441 BOWMAN ST ,PHILADELPHIA,PA,19129,KENNETH FUNK,HYDEELECTRICJOANN@GMAIL.COM,,2025-07-31 04:00:00+00,179
"HYGIEIA CONSULTING, LLC",819 N WOODSTOCK STREET ,PHILADELPHIA,PA,19130,MELANIE CATALDI,MCATALDI@HYGIEIA.LLC,,2025-10-15 04:00:00+00,180
Ian Smith Design Group LLC,322 East Thompson Street ,PHILADELPHIA,PA,19125,IAN SMITH,IAN.SMITH@IS-DG.COM,,2025-08-19 04:00:00+00,181
IEI GROUP LTD,4001 Main Street Suite 203,Philadelphia,Pa,19127,Rosemary Español,respanol@ieigroup.com,,2024-10-23 04:00:00+00,182
IMAGE COMPONENTS INC,2502 EDGEMONT STREET ,PHILADELPHIA,PA,19125,DENNIS S BYRNES,DBYRNES@ALLBEND.COM,,2025-07-31 04:00:00+00,183
"IMPRESSO COFFEE, LLC",3525 I ST SUITE 205,PHILADELPHIA,PA,19134,KEITH RODEMER,KEITH@IMPRESSO.com,,2024-07-26 04:00:00+00,184
IN A FLASH PLUMBING & HEATING INC.,9236 KEYSTONE STREET ,PHILADELPHIA,PA,19114,ROBBIN  NOCELLA,ROBBIN@INAFLASHPLUMBING.COM,,2025-07-31 04:00:00+00,186
Inch and Meter PC,21 S 11TH ST FLOOR 2,PHILADELPHIA,PA,19107,JELENA MATIC,INFO@INCHANDMETER.COM,,2025-07-31 04:00:00+00,187
INDEPENDENT HARDWARE INC,14 S. FRONT STREET ,PHILADELPHIA,PA,19106,VINCENT CAMPAGNA,SALES@INDEPENDENTHARDWARE.COM,WWW.INDEPENDENTHARDWARE.COM,2025-07-31 04:00:00+00,188
INDIAN PRINCESS HAIR LLC.,5704 N. CAMAC STREET ,PHILADELPHIA,PA,19141,ASYA RICHARDSON,INFO@INDIANPRINCESSHAIR.COM,,2024-07-30 04:00:00+00,189
IN & OUT MOVING SERVICE LLC,1700 MARKET STREET SUITE 1005 ,PHILADELPHIA,PA,19103,LENWARD MITCHELL,INANDOUTMOVINGSERVICE@GMAIL.COM,,2026-02-04 05:00:00+00,185
IntelliSys Solutions Group,1930 SOUTH BROAD ST ,PHILADELPHIA,PA,19145,BILL GORE,BILL.GORE@INTELLISYS-GROUP.COM,,2025-08-19 04:00:00+00,190
INTERFACE STUDIO LLC,340 N 12TH STREET SUITE #419,PHILADELPHIA,PA,19107,SCOTT PAGE,SCOTT@INTERFACE-STUDIO.COM,,2025-07-22 04:00:00+00,191
"INTERNATIONAL CONSULTANTS, INC.","221 CHESTNUT STREET, SUITE 200 ",PHILADELPHIA,PA,19106,MICHAEL FUNK,MFUNK@ICICONST.COM,,2026-01-15 05:00:00+00,192
"International Electrical Consultants, LTD",7900 REAR FRANKFORD AVE SUITE 1,PHILADELPHIA,PA,19136,ELEANOR DaSILVA,IEC.ELLED@GMAIL.COM,,2025-01-16 05:00:00+00,193
"ISA - INTERFACE STUDIO ARCHITECTS, LLC",1400 N AMERICAN ST #301 ,PHILADELPHIA,PA,19122,BRIAN PHILLIPS,INFO@IS-ARCHITECTS.COM,,2025-08-22 04:00:00+00,194
"IT STARTS WITH ME, LLC",729 COBBS CREEK PARKWAY ,PHILADELPHIA,PA,19143,NICOLE KENNEY,ISWM@NICOLEEKENNEY.COM,,2025-12-10 05:00:00+00,195
JACCARANDA EVENTS,4345 ORCHARD STREET ,PHILADELPHIA,PA,19124,URIM MORINA,URIM@JACCARANDAEVENTS.COM,,2026-01-15 05:00:00+00,199
JAMES D MORRISSEY INC,9119 FRANKFORD AVENUE ,PHILADELPHIA,PA,19114,Don Michell,dMichell@jdm-inc.com,,2025-08-01 04:00:00+00,200
"James J. Anderson Construction Co., Inc.",6958 TORRESDALE AVENUE SUITE 200,PHILADELPHIA,PA,19135,Tony Giaquinto,tonyg@jjaconstruction.com,WWW.JJACONSTRUCTION.COM,2025-08-01 04:00:00+00,201
J. COOPERSTEIN HOSPITALITY CONSULTING LLC,417 SPRUCE ST ,PHILADELPHIA,PA,19106,JAMIE COOPERSTEIN,JAMIE@JCOOPCONSULTING.COM,,2025-08-19 04:00:00+00,197
"J D EVANS SOLUTIONS, LLC","226 W RITTENHOUSE SQUARE, SUITE 914 ",PHILADELPHIA,PA,19103,JASON D EVANS,ADMIN@JDEVANSSOLUTIONS.COM,,2025-10-15 04:00:00+00,196
JIMMY'S TREE & LANDSCAPING CONTRACTORS LLC,5415 N Water Street ,Philadelphia,PA,19120,James Long,jimmyslndscping@aol.com,,2025-08-01 04:00:00+00,202
JOHN J BEE INC,547 N 5TH STREET ,PHILADELPHIA,PA,19123 4023,JOHN BEE,JJBEEINC@COMCAST.NET,,2025-08-19 04:00:00+00,203
"Joseph Dugan, Inc.",905 Bethlehem Pike ,Erdenheim,PA,19038,Mary Sherkness,msherkness@josephduganinc.com,,2025-08-01 04:00:00+00,204
"JPC Group, Inc.",1309-19 S HARMONY STREET ,PHILADELPHIA,PA,19146,JOSEPH PETRONGOLO,JOEP2@JPCGROUPINC.COM,WWW.JPCGROUPINC.COM,2025-08-01 04:00:00+00,205
JPG Photography,180 Green Lane ,Philadelphia,PA,19127,Joseph Gidjunis,hello@jpgphotovideo.com,,2025-10-15 04:00:00+00,206
"JUST IT'S ELECTRIC, LLC",4552 Linmore Avenue ,PHILADELPHIA,PA,19143,ERIK TRUXON,INFO@JUSTITSELECTRIC.COM,,2025-08-01 04:00:00+00,207
JustLaws PLLC,621 W MOUNT AIRY AVE ,PHILADELPHIA,PA,19119,STEVE MASTERS,STEVE@JUSTLAWS.ORG,,2025-08-01 04:00:00+00,208
J. WILD LLC D/B/A RELENTLESS GROWTH,336 PEMBERTON ST ,PHILADELPHIA,PA,19147,JEFF WILD,JEFF@RELENTLESSGROWTH.CO,https://www.relentlessgrowth.co/,2025-08-19 04:00:00+00,198
"Kate Cowing Architect, LLC",736 N JUDSON ST ,PHILADELPHIA,PA,19130,KATE COWING,KCOWING@COWINGARCHITECT.COM,,2025-08-19 04:00:00+00,209
KBS TAX SERVICE INC.,5622 N 5TH STREET ,PHILADELPHIA,PA,19120,KAMIL SALTER,KSALTER@LIBTAXPHILLY.COM,,2025-10-15 04:00:00+00,210
KEAST & HOOD CO,1635 Market Street SUITE 1705,PHILADELPHIA,PA,19103,David J Russell,DRussell@keasthood.com,,2025-08-06 04:00:00+00,211
Kelly Maiello Architects,1420 Walnut Street Suite 1502,Philadelphia,PA,19102,Dori Bova,DBova@kmarchitects.com,,2026-02-04 05:00:00+00,212
Kensington Food Company,3437 D ST ,PHILADELOHIA,PA,19134,THOMAS SHERIDAN,TOM@KENSINGTONFOOD.COM,,2025-08-01 04:00:00+00,213
KIDS AND FAMILY INC.,342 E GORGAS LANE ,PHILADELPHIA,PA,19119,ESTHER HOMNICK,ESTHER@KIDSANDFAMILY.NET,,2025-10-15 04:00:00+00,214
KIERANTIMBERLAKE ASSOCIATES,841 N AMERICAN STREET ,PHILADELPHIA,PA,19123,DAVID KUROWSKI,dkurowski@kierantimberlake.com,,2025-08-20 04:00:00+00,215
KOREAN COMMUNITY DEVELOPMENT SERVICES CENTER,6055 NORTH 5TH STREET ,PHILADELPHIA,PA,19120,JAE JOO,JJOO@KOREANCENTER.ORG,,2025-07-22 04:00:00+00,216
KYE MANAGERS LLC,1829 W TIOGA STREET SUITE 1,PHILADELPHIA,PA,19140,KYONNE ISAAC,KYE4HOMES@GMAIL.COM,,2025-08-01 04:00:00+00,217
LABOV II PLUMBING AND HEATING INC,5000 UMBRIA ST ,PHILADELPHIA,PA,19128,BRIAN LAPERA,BRIAN@THELABOVCO.COM,,2025-08-01 04:00:00+00,219
LABOV PLUMBING & HEATING SUPPLY INC,5000 UMBRIA STREET ,PHILADELPHIA,PA,19128,ROBERTA CROES,ROBERTA@THELABOVCO.COM,,2025-08-01 04:00:00+00,220
LA PETITE TAX DAME LLC,637 SOUTH 57TH STREET ,PHILADELPHIA,PA,19143,SHAUNA JOY COLLINS,LAPETITETAXDAME@GMAIL.COM,,2025-10-15 04:00:00+00,218
LEAKE ENGINEERING LLC,2001 MARKET STREET SUITE 2500,PHILADELPHIA,PA,19103,ALEX BRUNO,ALEX@LEAKEENGINEERING.COM,,2025-03-11 04:00:00+00,221
"Lene's Daily Child Care, Inc.",238-40 S 60TH ST ,PHILADELPHIA,PA,19139,CHARLENE RAWLINSON,LENE@LENESCHILDCARE.COM,,2025-08-19 04:00:00+00,222
LEVERAGING LEGACIES LLC ( DBA: LLEGACIES COMMERCIAL CLEANING SERVICES),2248 N CARLISLE STREET ,PHILADELPHIA,PA,19132,LEAH NAKITARE,INFO@LLEGACIESCCS.COM,,2025-07-22 04:00:00+00,223
LEVRA LABS LLC,"520 CARPENTER LANE, ",PHILADELPHIA,PA,19119,STEFFEN CORNWELL,STEFFEN@LEVRALABS.COM,,2025-08-01 04:00:00+00,224
LEX GENERAL CONSTRUCTION INC,215 SOUTH BROAD ST 5TH FLOOR,PHILADELPHIA,PA,19107,BORIS KEYER,KEYSERNY@GMAIL.COM,,2025-01-21 05:00:00+00,225
Light Thief Productions,1239 S 15th St ,Philadelphia,PA,19146,James Jackson,jjackson@light-thief.com,,2025-08-01 04:00:00+00,226
LITTLE SUSIE'S,2532 EAST LEHIGH AVENUE ,PHILADELPHIA,PA,19125,DAN MARTINO,HELLO@LITTLESUSIES.COM,,2026-03-10 04:00:00+00,227
"Little Warrior Media, LLC",326 S. 43RD ST ,PHILADELPHIA,PA,19104,BRIAN GLAZER,BRIAN@LITTLEWARRIORAGENCY.COM,,2025-08-01 04:00:00+00,228
LO DESIGN COMPANY LLC,2116 LOCUST STREET ,PHILADELPHIA,PA,19103,LEA LITVIN,LEA@LODESIGNCO.COM,,2025-05-13 04:00:00+00,229
LOVE CITY BREWING COMPANY,1023 HAMILTON STREET ,PHILADELPHIA,PA,19123,MELISSA WALTER,MELISSA@LOVECITYBREWING.COM,,2025-10-15 04:00:00+00,230
"LOVE PRAY PEACE PROJECT; VETERANS RESIDENCE",5400 WYNDALE AVENUE ,PHILADELPHIA,PA,19131,KRISSI JUDD,KRISSIJ@LP3.ORG,,2025-08-01 04:00:00+00,231
"LSN CM&E, LLC",8030 Thouron Ave 2nd Floor,Philadelphia,Pa,19150,Randy Washington,Randy@lsn.com,,2024-05-15 04:00:00+00,232
"Magnum Group, Inc.",610 South 2nd Street ,Philadelphia,PA,19147,Vivian Isaak,visaak@magnumgroupinc.com,,2025-02-04 05:00:00+00,235
"Mangual Demolition, Inc.",2301 N 52nd Street ,Philadelphia,PA,19131,Carla Mangual,carla@mangualconstruction.com,,2026-02-04 05:00:00+00,236
Manna Supply,1516 N 5th ST SUITE 505,PHILADELPHIA,PA,19122,AMANDA MARTIN,AMANDA.MARTIN@MANNASUPPLY.COM,,2025-08-01 04:00:00+00,237
"Marie Cunningham Ent., Inc.",904 INVERNESS LANE ,PHILADELPHIA,PA,19128,MARIE CUNNINGHAM,MARIECUNNINGHAMENT@GMAIL.COM,,2025-01-16 05:00:00+00,238
"MARK B THOMPSON Associates, PC",2401 Walnut Street Suite 102,PHILADELPHIA,PA,19103,CLAIRE DONATO,CDONATO@MBTARCHITECTS.COM,,2025-08-01 04:00:00+00,239
MARTIN H CHAN PC,18 CAMPUS BLVD SUITE 100,NEWTOWN SQUARE,PA,19073,MARTIN H CHAN,MCHAN@MHCCPA.COM,,2025-10-15 04:00:00+00,240
Marx M.E.U. Inc,2814 E ALLEGHENY AVE ,PHILADELPHIA,PA,19135,APOSTOLOS KOTSASPYROU,INFO@MARXMEDICALEQUIPMENT.COM,,2025-01-16 05:00:00+00,241
MASKAR DESIGN INC,1606 WALNUT ST SUITE 1502,PHILADELPHIA,PA,19103,KATE MASKAR,MASKAR@MASKAR.COM,,2025-08-01 04:00:00+00,242
MASTERS GROUP DESIGN,2315 NAUDAIN STREET ,PHILADELPHIA,PA,19146,LISA WEINBERGER,LISA@MGDPHILLY.COM,,2024-11-18 05:00:00+00,243
"MAVEN COMMUNICATIONS, LLC",123 South Broad Street Suite 830,Philadelphia,PA,19109,Rebecca Devine,rdevine@mavenagency.com,,2025-08-19 04:00:00+00,244
MC  INVESTMENT AND CONSULTING GROUP LLC,50 SOUTH 16TH STREET 17TH FL,PHILADELPHIA,PA,19102,MARILYN CLARK,Marilyn@mcinvestmentandconsultinggroup.com,,2025-08-01 04:00:00+00,245
MCKNIGHT INTERNATIONAL,5354 N 15TH STREET ,PHILADELPHIA,PA,19141,SHAWN PRESSLEY,SPRESSLEY@MCKNIGHTINTL.COM,,2025-12-10 05:00:00+00,246
"M. DAVIS AND COMPANY, INC.",1015 Chestnut St Suite 317,Philadelphia,Pa,19107,Morris Davis,accounting@mdavisco.com,www.mdavisco.com,2025-08-01 04:00:00+00,234
MEALS DIRECT LLC,3801 ARAMINGO AVENUE UNIT 27,PHILADELPHIA,PA,19137,MIKE ZABEL,MZABEL@MEALSDIRECTLLC.NET,,2025-08-28 04:00:00+00,247
METCALFE ARCHITECTURE & DESIGN LLC,234 MARKET STREET 5TH FLOOR,PHILADELPHIA,PA,19106,Stephanie Lefakis,stephaniel@metarchdesign.com,,2025-08-12 04:00:00+00,248
"Metropolitan Acoustics, LLC","1628 JFK Blvd., 8 Penn Center, Suite 1902 ",Philadelphia,PA,19103,Erin Davies,e.davies@metro-acoustics.com,,2026-01-15 05:00:00+00,249
MEZZAROBA PLUMBING AND HEATING LLC,2839 S 16TH ST ,PHILADELPHIA,PA,19145,MIKE MEZZAROBA,MIKE@MEZZAROBAPLUMBING.COM,,2024-10-01 04:00:00+00,250
"MFR Consultants, Inc.","Atrium At Olde City, 128 Chestnut Street ",Philadelphia,PA,19106,Andrew Speizman,aspeizman@mfrconsultants.com,,2025-10-09 04:00:00+00,251
MGA PARTNERS LLC,234 MARKET STREET 2ND FLOOR,PHILADELPHIA,PA,19106,CLAIRE FOLKMAN,ACCOUNTING@MGAPARTNERS.COM,,2025-05-13 04:00:00+00,252
MID HARDWARE,2800 W DAUPHIN ST SUITE 420,PHILADELPHIA,PA,19132,DON SON,SUPPORT@MIDHARDWARE.COM,,2025-08-01 04:00:00+00,253
MILESTONE CONSTRUCTION MANAGEMENT INC,101 GEIGER RD SUITE 6,PHILADELPHIA,PA,19115,SUSAN ELWELL,ELWELL@MILESTONECM.NET,,2025-01-16 05:00:00+00,254
"MILLIGAN AND COMPANY, LLC",105 N 22ND STREET 2ND FLOOR,PHILADELPHIA,PA,19103,MICHAEL KEENEY,MKEENEY@MILLIGANCPA.COM,,2025-08-28 04:00:00+00,255
MINUTEMAN PRESS PHILADELPHIA,932 E Hunting Park Avenue ,PHILADELPHIA,PA,19124,JUDE ARIJAJE,JARIJAJE@MINUTEMANPRESSPHL.COM,,2025-08-01 04:00:00+00,256
MISSION PARTNERS GROUP LLC,111 S. INDEPENDENCE MALL SUITE 800,PHILADELPHIA,PA,19106,INGRID BOUCHER,INFO@BLOOMPLANNING.COM,,2025-08-12 04:00:00+00,258
MISS MAHOGANY,6133 ELLSWORTH STREET ,PHILADELPHIA,PA,19143,Aisha Al-Muid,MISSMAHOGANYPHILLY@GMAIL.COM,,2025-12-10 05:00:00+00,257
MJ Settelen Construction LLC,230 S. BROAD ST ,PHILADELPHIA,PA,19102,JOANNE SETTELEN,JOANNE@MJSETTELEN.COM,,2025-08-01 04:00:00+00,259
M & M Lawn Care East Inc.,1251 BYBERRY ROAD UNIT 5,PHILADELPHIA,PA,19116,PAUL MARTIN,MMLAWNCAREMARTIN@GMAIL.COM,,2025-08-01 04:00:00+00,233
Monster Doc Shred Inc,9216 State Rd ,Philadelphia,Pa,19114,Lisa Affatato-Bradley,info@monsterdocshredinc.com,,2025-08-01 04:00:00+00,260
"Morgan Construction Management, LLC",2929 ARCH ST SUITE 1700,PHILADELPHIA,PA,19104,ANGEL HACKNEY,AHACKNEY@MORGANCML.COM,,2025-10-30 04:00:00+00,261
MOTO DESIGNSHOP INC.,228 VINE STREET ,PHILADELPHIA,PA,19106,ADAM MONTALBANO,ADAM@MOTODESIGNSHOP.COM,,2025-08-01 04:00:00+00,262
MPN D/B/A ACTIVE RADIATOR,3675 AMBER STREET ,PHILADELPHIA,PA,19134,PAUL LUFF,PAULL@ACTIVERADIATOR.COM,,2025-01-16 05:00:00+00,263
"MR. KITT'S SERVICE CENTER, INC.",4501 STENTON AVENUE ,PHILADELPHIA,PA,19144,ANTHONY KITT,INFO@MRKITTSINC.COM,,2025-12-10 05:00:00+00,264
MULHERN ELECTRIC CO INC,1515 MARKET STREET SUITE 1200,PHILADELPHIA,PA,19102,"JOHN T. MULHERN, JR.",JOHN@MULHERNELECTRIC.COM,,2025-08-01 04:00:00+00,265
"MYRIAGON CONSULTING GROUP, LLC",1105 BRANDYWINE STREET ,PHILADELPHIA,PA,19123,NESTOR TORRES,INFO@MYRIAGONCONSULTING.COM,,2025-07-22 04:00:00+00,266
Najmun LLC,2717 W Silver Street ,Philadelphia,PA,19132,Geneva Pugh,support@najmunllc.com,,2026-03-10 04:00:00+00,267
NASTECH LLC,9991 FERNDALE ST ,PHILADELPHIA,P,19115,NASRALDIN OMER,NASTECHLLC1@GMAIL.COM,,2025-08-01 04:00:00+00,268
"National Chemical Laboratories, Inc.",401 NORTH 10TH STREET ,PHILADELPHIA,PA,19123,HARRY POLLACK,HPOLLACK@NCLONLINE.COM,WWW.NCLONLINE.COM,2025-08-01 04:00:00+00,270
"NATION BUILDERS, LLC","2537 FRANKFORD AVE, UNIT C ",PHILADELPHIA,PA,19125,JOSH MATHEW,JOSH@NATIONBLD.COM,,2026-03-10 04:00:00+00,269
NEFF & ASSOCIATES INC,13 SOUTH 3RD ST ,PHILADELPHIA,PA,19106,MARYANN LUDWICK,ML@NEFFKNOWS.COM,,2025-08-01 04:00:00+00,271
NELLO CONSTRUCTION CO INC,2935 EAST VICTORIA STREET ,PHILADELPHIA,PA,19134,NELLO NATICCHIONE,NELLOSR@AOL.COM,,2025-08-01 04:00:00+00,272
"NEXT STEP ASSOCIATES, LLC",7300 City Ave Suite 310,Philadelphia,Pa,19151,Cassandra jones,cwjcao19f@yahoo.com,,2025-08-19 04:00:00+00,273
"NORTHEAST FENCE & IRON WORKS, INC.",8451 HEGERMAN STREET ,PHILADELPHIA,PA,19136,DIANE CHARLTON,NEFMANAGER@COMCAST.NET,,2025-08-01 04:00:00+00,275
NORTH STAR ELECTRICAL SUPPLY CO,7900 FRANKFORD AVENUE ,PHILADELPHIA,PA,19136,ELEANOR CHEPIGA,NSESC89@AOL.COM,,2025-08-01 04:00:00+00,274
"OCTO DESIGN GROUP, INC.",836 SOUTH STREET ,PHILADELPHIA,PA,19147,WENDY D VERNA,WENDY@OCTODESIGN.COM,,2025-08-19 04:00:00+00,278
O'DONNELL ALLIANCE LLC,8516 RISING SUN AVE ,PHILADELPHIA,PA,19111,TERRI O'DONNELL,TERRI@ODONNELLALLIANCE.COM,,2025-08-01 04:00:00+00,277
O'DONNELL & NACCARATO,"701 MARKET ST, #6000 ",PHILADELPHIA,PA,19106,Scott Bauer,sbauer@O-N.COM,,2026-01-15 05:00:00+00,276
OLIN PARTNERSHIP LTD,1617 John F Kennedy Blvd Ste 1900,Philadelphia,Pa,19103,Steven Dubin,sdubin@theolinstudio.com,,2025-08-01 04:00:00+00,279
Olivieri & Associates,7411 Holstein Avenue ,PHILADELPHIA,PA,19153,MARIA OLIVIERI,MARIA@OLIVIERIANDASSOC.COM,OLIVIERIANDASSOC.COM,2025-08-01 04:00:00+00,280
"Omega Restoration, Inc",4455 N. 6th St ste 200,Philadelphia,PA,19140,Brian Mast,brian@smomega.com,www.smomega.com,2025-01-21 05:00:00+00,281
Oneida Fire Protection,421 N. 7TH STREET SUITE 401,PHILADELPHIA,PA,19123,ALEXANDER HAMMELBACHER,INFO@ONEIDAFIREPROTECTION.COM,ONEIDAFIREPROTECTION.COM,2025-08-01 04:00:00+00,283
ON POINT PLUMBING,2400 GERMANTOWN AVE ,PHILADELPHIA,PA,19133,DENNIS SHIFRIN,DENNIS@PLUMBING215.COM,,2026-02-04 05:00:00+00,282
OPS Security Group,1500 S. COLUMBUS BLVD SUITE 6,PHILADELPHIA,PA,19147,DANIEL COSTA,DAN@OPSSECURITYGROUP.COM,,2025-08-01 04:00:00+00,284
OUR COMMUNITY STAFFING AGENCY INC,234 S 60TH STREET SUITE 130,PHILADELPHIA,PA,19139,MUSA SULAIMAN,EXECS@OCSACO.COM,,2026-03-10 04:00:00+00,285
PACE ARCHITECTURE AND DESIGN LLC,1722 E. PASSYUNK AVE ,PHILADELPHIA,PA,19144,BENJAMIN ESTEPANI,BEN@PACE-AD.COM,,2025-08-01 04:00:00+00,287
